TERYT;district;entitled;voted;who_win;voter_turnout%
20100.0;bolesławiecki;66394;46532;PiS;70.08
20200.0;dzierżoniowski;74042;50915;PiS;68.77
20300.0;głogowski;64410;47427;PiS;73.63
20400.0;górowski;25337;16536;PiS;65.26
20500.0;jaworski;37390;25670;PiS;68.65
20600.0;karkonoski;50049;36124;PO;72.18
20700.0;kamiennogórski;31724;21886;PO;68.99
20800.0;kłodzki;120530;81979;PO;68.02
20900.0;legnicki;41552;29871;PiS;71.89
21000.0;lubański;40763;28315;PiS;69.46
21100.0;lubiński;78054;58552;PiS;75.01
21200.0;lwówecki;33765;22450;PiS;66.49
21300.0;milicki;27891;19355;PiS;69.4
21400.0;oleśnicki;80860;58774;PiS;72.69
21500.0;oławski;57635;43427;PiS;75.35
21600.0;polkowicki;45795;32721;PiS;71.45
21700.0;strzeliński;33826;24112;PiS;71.28
21800.0;średzki;43265;32015;PiS;74.0
21900.0;świdnicki;116272;83836;PO;72.1
22000.0;trzebnicki;66784;50070;PiS;74.97
22100.0;wałbrzyski;41628;28410;PO;68.25
22200.0;wołowski;36471;25765;PiS;70.65
22300.0;wrocławski;125656;102812;PO;81.82
22400.0;ząbkowicki;48465;32021;PiS;66.07
22500.0;zgorzelecki;67305;47255;PiS;70.21
22600.0;złotoryjski;31909;21626;PiS;67.77
26100.0;Jelenia Góra;58088;43168;PO;74.31
26200.0;Legnica;69202;50453;PO;72.91
26400.0;Wrocław;508558;412995;PO;81.21
26500.0;Wałbrzych;75920;52652;PO;69.35
40100.0;aleksandrowski;45563;32241;PiS;70.76
40200.0;brodnicki;58336;40165;PiS;68.85
40300.0;bydgoski;92236;70794;PO;76.75
40400.0;chełmiński;37096;24829;PiS;66.93
40500.0;golubsko-dobrzyński;33612;22664;PiS;67.43
40600.0;grudziądzki;29809;19622;PiS;65.83
40700.0;inowrocławski;118114;83796;PO;70.95
40800.0;lipnowski;48623;31149;PiS;64.06
40900.0;mogileński;34236;23625;PiS;69.01
41000.0;nakielski;63932;44426;PiS;69.49
41100.0;radziejowski;30840;20559;PiS;66.66
41200.0;rypiński;32741;21453;PiS;65.52
41300.0;sępoleński;29629;19602;PiS;66.16
41400.0;świecki;72050;48857;PiS;67.81
41500.0;toruński;82816;60634;PO;73.22
41600.0;tucholski;36146;25207;PiS;69.74
41700.0;wąbrzeski;24845;16024;PiS;64.5
41800.0;włocławski;66193;44373;PiS;67.04
41900.0;żniński;52377;36947;PiS;70.54
46100.0;Bydgoszcz;246837;191483;PO;77.57
46200.0;Grudziądz;64271;45948;PO;71.49
46300.0;Toruń;146081;113949;PO;78.0
46400.0;Włocławek;78610;56321;PO;71.65
60100.0;bialski;83820;57835;PiS;69.0
60200.0;biłgorajski;76801;51972;PiS;67.67
60300.0;chełmski;58779;36737;PiS;62.5
60400.0;hrubieszowski;47393;29536;PiS;62.32
60500.0;janowski;34677;25128;PiS;72.46
60600.0;krasnostawski;48826;31798;PiS;65.13
60700.0;kraśnicki;71159;48205;PiS;67.74
60800.0;lubartowski;67066;47541;PiS;70.89
60900.0;lubelski;122273;90762;PiS;74.23
61000.0;łęczyński;42619;30221;PiS;70.91
61100.0;łukowski;78700;57472;PiS;73.03
61200.0;opolski;45208;30004;PiS;66.37
61300.0;parczewski;25977;17799;PiS;68.52
61400.0;puławski;87866;64631;PiS;73.56
61500.0;radzyński;44197;30882;PiS;69.87
61600.0;rycki;42057;31135;PiS;74.03
61700.0;świdnicki;54373;39249;PiS;72.18
61800.0;tomaszowski;62858;40689;PiS;64.73
61900.0;włodawski;29281;19675;PiS;67.19
62000.0;zamojski;81462;54747;PiS;67.21
66100.0;Biała Podlaska;42256;31229;PiS;73.9
66200.0;Chełm;45531;31390;PiS;68.94
66300.0;Lublin;257526;195262;PiS;75.82
66400.0;Zamość;45930;32259;PiS;70.24
80100.0;gorzowski;54222;39332;PO;72.54
80200.0;krośnieński;40830;28024;PO;68.64
80300.0;międzyrzecki;42919;29697;PO;69.19
80400.0;nowosolski;62801;43904;PO;69.91
80500.0;słubicki;35993;25347;PO;70.42
80600.0;strzelecko-drezdenecki;36211;24249;PiS;66.97
80700.0;sulęciński;25903;17635;PO;68.08
80800.0;świebodziński;41249;29229;PO;70.86
80900.0;zielonogórski;56889;40732;PO;71.6
81000.0;żagański;56558;38107;PO;67.38
81100.0;żarski;69712;47832;PO;68.61
81200.0;wschowski;28678;19389;PiS;67.61
86100.0;Gorzów Wielkopolski;86213;64146;PO;74.4
86200.0;Zielona Góra;103739;82120;PO;79.16
100100.0;bełchatowski;84311;63990;PiS;75.9
100200.0;kutnowski;72674;51458;PiS;70.81
100300.0;łaski;38758;29218;PiS;75.39
100400.0;łęczycki;38870;27241;PiS;70.08
100500.0;łowicki;60190;44586;PiS;74.08
