TERYT;district;entitled;voted;who_win;voter_turnout%
20100.0;bolesławiecki;65950;40879;PO;61.98
20200.0;dzierżoniowski;72535;43675;PO;60.21
20300.0;głogowski;63792;41226;PO;64.63
20400.0;górowski;25134;14218;PiS;56.57
20500.0;jaworski;36841;22097;PiS;59.98
20600.0;karkonoski;48363;30173;PO;62.39
20700.0;kamiennogórski;31309;18761;PO;59.92
20800.0;kłodzki;117776;69633;PO;59.12
20900.0;legnicki;41471;26166;PiS;63.09
21000.0;lubański;40168;23688;PO;58.97
21100.0;lubiński;77231;50996;PiS;66.03
21200.0;lwówecki;33440;19106;PO;57.14
21300.0;milicki;27887;16839;PiS;60.38
21400.0;oleśnicki;81448;51790;PO;63.59
21500.0;oławski;57918;39122;PO;67.55
21600.0;polkowicki;45500;28779;PiS;63.25
21700.0;strzeliński;33742;21243;PiS;62.96
21800.0;średzki;44440;29622;PO;66.66
21900.0;świdnicki;114466;71990;PO;62.89
22000.0;trzebnicki;67195;45330;PO;67.46
22100.0;wałbrzyski;40607;23866;PO;58.77
22200.0;wołowski;36180;22595;PO;62.45
22300.0;wrocławski;130408;96788;PO;74.22
22400.0;ząbkowicki;47735;27442;PiS;57.49
22500.0;zgorzelecki;65639;39687;PO;60.46
22600.0;złotoryjski;31537;18645;PO;59.12
26100.0;Jelenia Góra;56111;35954;PO;64.08
26200.0;Legnica;67331;41943;PO;62.29
26400.0;Wrocław;504001;373009;PO;74.01
26500.0;Wałbrzych;73360;43243;PO;58.95
40100.0;aleksandrowski;44670;28230;PiS;63.2
40200.0;brodnicki;58066;35132;PiS;60.5
40300.0;bydgoski;93605;64316;PO;68.71
40400.0;chełmiński;36709;22096;PO;60.19
40500.0;golubsko-dobrzyński;33388;19705;PiS;59.02
40600.0;grudziądzki;29808;17424;PiS;58.45
40700.0;inowrocławski;115889;71432;PO;61.64
40800.0;lipnowski;48432;27177;PiS;56.11
40900.0;mogileński;34101;20471;PiS;60.03
41000.0;nakielski;63482;38953;PO;61.36
41100.0;radziejowski;30551;17459;PiS;57.15
41200.0;rypiński;32454;18773;PiS;57.84
41300.0;sępoleński;29568;17482;PO;59.12
41400.0;świecki;71433;42767;PO;59.87
41500.0;toruński;83691;54799;PO;65.48
41600.0;tucholski;35904;22242;PiS;61.95
41700.0;wąbrzeski;24521;13890;PO;56.65
41800.0;włocławski;66012;38047;PiS;57.64
41900.0;żniński;52007;31921;PO;61.38
46100.0;Bydgoszcz;241846;166891;PO;69.01
46200.0;Grudziądz;62364;39022;PO;62.57
46300.0;Toruń;143815;101396;PO;70.5
46400.0;Włocławek;76567;47296;PO;61.77
60100.0;bialski;82977;53001;PiS;63.87
60200.0;biłgorajski;75636;48684;PiS;64.37
60300.0;chełmski;58219;33978;PiS;58.36
60400.0;hrubieszowski;46542;27105;PiS;58.24
60500.0;janowski;34274;23471;PiS;68.48
60600.0;krasnostawski;48001;28514;PiS;59.4
60700.0;kraśnicki;70343;44241;PiS;62.89
60800.0;lubartowski;66704;44364;PiS;66.51
60900.0;lubelski;124124;86143;PiS;69.4
61000.0;łęczyński;42787;28693;PiS;67.06
61100.0;łukowski;77936;53931;PiS;69.2
61200.0;opolski;44508;27685;PiS;62.2
61300.0;parczewski;25822;16165;PiS;62.6
61400.0;puławski;86640;58290;PiS;67.28
61500.0;radzyński;43966;28694;PiS;65.26
61600.0;rycki;41262;28387;PiS;68.8
61700.0;świdnicki;54143;35985;PiS;66.46
61800.0;tomaszowski;61951;37547;PiS;60.61
61900.0;włodawski;28994;17675;PiS;60.96
